                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.061,                 3.3239,                  1.101,                0.03825,                0.62255,                0.18601,                0.07782,                   1.86,                 3.1544,                 1.0441,             0.00036192,             0.00036192,             0.00036192
                      2,                 1.9747,                 2.0636,                 1.0781,                 0.6061,                0.35551,                0.28007,                0.12466,                 1.8664,                 1.9466,                 1.0906,             0.00071775,             0.00071775,             0.00071775
                      3,                 1.9177,                 1.8832,                 1.0533,                0.27009,                0.50743,                0.34395,                 0.1472,                 1.8286,                 1.7329,                 1.0672,              0.0010589,              0.0010589,              0.0010589
                      4,                 1.9245,                 1.7916,                 1.0419,                0.32275,                0.45777,                0.39709,                0.17525,                 1.7664,                 1.6673,                   1.04,               0.001045,               0.001045,               0.001045
                      5,                 1.8125,                 1.6753,                 1.0297,                0.32916,                 0.4606,                0.37028,                 0.1649,                 1.7818,                 1.6745,                 1.0433,               0.001045,               0.001045,               0.001045
                      6,                 1.8041,                 1.6333,                 1.0313,                0.37981,                0.54387,                0.47325,                0.20738,                 1.7515,                 1.5119,                 1.0405,               0.001023,               0.001023,               0.001023
                      7,                 1.7782,                  1.545,                 1.0247,                0.50717,                0.52866,                0.54706,                0.25059,                 1.7213,                 1.5276,                 1.0214,               0.001001,               0.001001,               0.001001
                      8,                 1.7719,                 1.5167,                 1.0158,                0.47048,                 0.6513,                0.57928,                0.25943,                 1.7177,                 1.4798,                 1.0264,             0.00097901,             0.00097901,             0.00097901
                      9,                  1.762,                 1.4615,                 1.0189,                0.55083,                0.58611,                0.62563,                0.27826,                 1.7113,                 1.4112,                 1.0219,             0.00095702,             0.00095702,             0.00095702
                     10,                 1.7483,                 1.3854,                 1.0099,                0.61835,                0.62588,                0.66152,                0.28818,                 1.7312,                 1.3597,                 1.0274,             0.00093502,             0.00093502,             0.00093502
                     11,                 1.7362,                 1.3601,                 1.0077,                0.65177,                0.65356,                0.71324,                  0.317,                 1.6949,                 1.3159,                 1.0182,             0.00091302,             0.00091302,             0.00091302
                     12,                 1.7133,                 1.3089,                 1.0081,                0.65743,                0.66788,                0.71556,                0.33085,                 1.6625,                 1.2874,                 1.0116,             0.00089102,             0.00089102,             0.00089102
                     13,                  1.744,                 1.2955,                 1.0032,                0.65661,                0.67251,                0.70759,                0.31504,                 1.7045,                 1.3232,                 1.0183,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.7231,                 1.2591,                0.99358,                0.71109,                0.68925,                0.75212,                0.33737,                 1.6983,                 1.2435,                 1.0146,             0.00084703,             0.00084703,             0.00084703
                     15,                 1.7048,                 1.2237,                0.99837,                0.75667,                0.69454,                0.77508,                0.35168,                 1.6759,                 1.2184,                  1.007,             0.00082503,             0.00082503,             0.00082503
                     16,                 1.7024,                 1.1923,                0.99168,                 0.7337,                0.71436,                0.77547,                 0.3573,                  1.669,                 1.2345,                  1.009,             0.00080303,             0.00080303,             0.00080303
                     17,                 1.6943,                 1.1825,                0.98917,                0.77131,                 0.6931,                0.79294,                0.35945,                 1.6816,                 1.1586,                 1.0097,             0.00078103,             0.00078103,             0.00078103
                     18,                 1.7211,                 1.1639,                0.99535,                0.74767,                0.75696,                0.79875,                 0.3711,                 1.6694,                 1.1234,                 1.0043,             0.00075904,             0.00075904,             0.00075904
                     19,                 1.6736,                 1.1561,                0.98373,                0.71206,                0.70921,                0.76515,                0.35638,                  1.658,                 1.2437,                 0.9972,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.6769,                 1.1356,                0.97909,                0.77819,                0.78169,                0.83455,                0.38773,                  1.651,                 1.1315,                 1.0009,             0.00071504,             0.00071504,             0.00071504
                     21,                 1.6599,                 1.1111,                0.97917,                0.79365,                 0.7824,                0.82867,                0.38889,                 1.6266,                 1.0909,                0.99466,             0.00069304,             0.00069304,             0.00069304
                     22,                 1.6534,                 1.0868,                0.98797,                0.80082,                0.75076,                0.83343,                0.38778,                 1.6439,                 1.0954,                0.99788,             0.00067104,             0.00067104,             0.00067104
                     23,                  1.654,                 1.1188,                0.98666,                0.83034,                 0.7557,                0.85219,                0.39223,                 1.6472,                 1.0969,                 1.0019,             0.00064905,             0.00064905,             0.00064905
                     24,                 1.6772,                 1.0938,                0.98173,                0.80133,                0.77931,                0.84402,                 0.3841,                 1.6807,                 1.0843,                 1.0039,             0.00062705,             0.00062705,             0.00062705
                     25,                 1.6322,                 1.0536,                0.97437,                0.72433,                0.77264,                 0.8401,                0.38915,                 1.6675,                 1.1062,                 1.0023,             0.00060505,             0.00060505,             0.00060505
                     26,                 1.6389,                 1.0502,                0.97029,                0.78633,                0.78642,                0.83607,                0.38592,                 1.6722,                 1.0827,                 1.0072,             0.00058305,             0.00058305,             0.00058305
                     27,                  1.643,                 1.0531,                0.97586,                0.80811,                0.79873,                  0.864,                0.40694,                 1.6592,                 1.0492,                0.99989,             0.00056105,             0.00056105,             0.00056105
                     28,                 1.6202,                 1.0424,                0.98541,                0.80563,                0.78177,                0.84776,                0.40035,                 1.6728,                 1.0498,                 1.0024,             0.00053906,             0.00053906,             0.00053906
                     29,                 1.6342,                 1.0166,                0.98121,                0.84202,                0.80436,                0.87523,                0.41837,                 1.6382,                 1.0159,                0.99449,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.6381,                 1.0286,                0.97344,                0.85695,                0.78898,                0.88012,                0.41517,                 1.6449,                 1.0135,                0.99685,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.6057,                 1.0027,                0.97577,                0.85293,                0.78696,                0.87847,                 0.4173,                 1.6457,                 1.0032,                0.99707,             0.00047306,             0.00047306,             0.00047306
                     32,                 1.6239,                      1,                0.97689,                0.83103,                0.82671,                0.87818,                 0.4191,                 1.6499,                 1.0195,                0.99809,             0.00045107,             0.00045107,             0.00045107
                     33,                  1.621,                0.98312,                0.97796,                0.83294,                0.79815,                0.86778,                0.41472,                 1.6336,                 1.0193,                0.99454,             0.00042907,             0.00042907,             0.00042907
                     34,                 1.6125,                0.98265,                0.98039,                0.83892,                0.79715,                0.86729,                0.40945,                 1.6571,                 1.0167,                0.99795,             0.00040707,             0.00040707,             0.00040707
                     35,                   1.59,                0.97214,                0.96343,                0.83035,                0.83609,                0.88246,                0.42157,                 1.6243,                 1.0089,                 0.9891,             0.00038507,             0.00038507,             0.00038507
                     36,                 1.5975,                0.97746,                0.96779,                0.83049,                0.81409,                 0.8821,                0.41743,                 1.6595,                 1.0229,                0.99789,             0.00036307,             0.00036307,             0.00036307
                     37,                 1.5837,                0.97166,                0.96599,                  0.824,                0.82533,                0.87919,                0.42195,                 1.6571,                 1.0257,                0.99611,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.5822,                0.95189,                0.96747,                0.85757,                0.80116,                0.88392,                0.41648,                  1.643,                0.99107,                 0.9932,             0.00031908,             0.00031908,             0.00031908
                     39,                 1.5935,                0.94695,                0.96599,                 0.8347,                0.81263,                0.87771,                0.41562,                 1.6387,                 1.0053,                0.99316,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.5672,                0.93504,                0.96352,                0.85839,                0.82139,                0.89408,                0.42574,                 1.6244,                0.97117,                0.99182,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.5801,                 0.9438,                 0.9786,                0.82625,                0.82761,                0.88182,                0.40887,                 1.6378,                 1.0049,                0.99497,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.5565,                0.90616,                0.98706,                  0.794,                0.82004,                0.86993,                0.41759,                 1.6371,                 1.0365,                0.99146,             0.00023109,             0.00023109,             0.00023109
