                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3106,                 1.5241,                 1.1279,                0.65067,                0.68036,                 0.7067,                0.42635,                 1.2446,                 1.1324,                 1.1115,             0.00036464,             0.00036464,             0.00036464
                      2,                 1.2073,                0.92688,                 1.0885,                 0.6872,                0.73709,                0.75985,                0.45003,                 1.2883,                0.99959,                 1.2119,             0.00073012,             0.00073012,             0.00073012
                      3,                 1.1813,                0.84439,                 1.0927,                 0.7945,                0.79598,                0.85975,                0.54721,                 1.1592,                0.88779,                 1.1479,              0.0010907,              0.0010907,              0.0010907
                      4,                 1.1855,                0.75903,                 1.1021,                0.81824,                0.80809,                0.88765,                0.54911,                 1.2085,                0.82944,                 1.1705,               0.001089,               0.001089,               0.001089
                      5,                 1.1733,                0.70401,                 1.0946,                0.86795,                0.85702,                0.92395,                0.59906,                 1.1591,                0.66727,                 1.1781,               0.001089,               0.001089,               0.001089
                      6,                 1.1503,                0.66005,                 1.0992,                0.87662,                0.87742,                0.93675,                0.60795,                  1.133,                0.62312,                 1.1537,              0.0010817,              0.0010817,              0.0010817
                      7,                 1.1503,                0.63121,                 1.0939,                0.89005,                0.88711,                0.94925,                0.62715,                 1.1313,                0.58847,                 1.1649,              0.0010743,              0.0010743,              0.0010743
                      8,                 1.1216,                0.61013,                 1.0788,                0.92111,                0.89662,                0.96009,                0.63312,                 1.1202,                0.56827,                 1.1589,               0.001067,               0.001067,               0.001067
                      9,                 1.1364,                0.59855,                 1.0888,                0.91927,                0.89655,                0.95788,                0.63543,                  1.116,                0.54338,                 1.1501,              0.0010597,              0.0010597,              0.0010597
                     10,                 1.1108,                0.56396,                 1.0741,                0.91488,                0.90493,                0.95643,                0.63688,                 1.1165,                0.55883,                 1.1579,              0.0010523,              0.0010523,              0.0010523
                     11,                 1.0931,                0.55634,                 1.0737,                0.91895,                0.90265,                0.95991,                0.63489,                 1.1249,                0.56487,                 1.1619,               0.001045,               0.001045,               0.001045
                     12,                  1.089,                0.54423,                 1.0714,                0.93267,                0.92403,                0.97131,                0.64698,                 1.1194,                 0.5158,                 1.1488,              0.0010377,              0.0010377,              0.0010377
                     13,                 1.0924,                0.53105,                 1.0731,                0.92861,                0.92448,                0.96742,                0.63927,                 1.1173,                0.52937,                 1.1515,              0.0010303,              0.0010303,              0.0010303
                     14,                  1.084,                0.53012,                 1.0639,                0.93119,                0.93475,                0.97062,                0.64492,                 1.1148,                0.51359,                 1.1582,               0.001023,               0.001023,               0.001023
                     15,                 1.0558,                0.50494,                 1.0533,                0.94433,                0.93333,                0.97624,                0.65962,                  1.094,                0.49747,                 1.1607,              0.0010157,              0.0010157,              0.0010157
                     16,                  1.057,                0.51177,                 1.0595,                0.92713,                0.93496,                0.97181,                0.65673,                 1.1002,                0.49879,                 1.1485,              0.0010083,              0.0010083,              0.0010083
                     17,                 1.0569,                0.50484,                 1.0631,                0.93883,                0.93121,                0.97466,                0.65712,                 1.1042,                0.49491,                 1.1635,               0.001001,               0.001001,               0.001001
                     18,                 1.0475,                0.49752,                 1.0585,                0.94751,                0.92216,                0.97353,                0.65698,                 1.0908,                0.49899,                 1.1514,             0.00099368,             0.00099368,             0.00099368
                     19,                 1.0455,                0.49345,                 1.0588,                0.94223,                0.92657,                0.97607,                0.65061,                 1.1316,                0.50122,                 1.1937,             0.00098635,             0.00098635,             0.00098635
                     20,                 1.0368,                0.48539,                 1.0526,                0.93687,                0.93628,                 0.9737,                 0.6567,                 1.1096,                0.48766,                 1.1654,             0.00097901,             0.00097901,             0.00097901
                     21,                 1.0202,                0.47862,                 1.0467,                0.93895,                0.92832,                0.97399,                0.65541,                  1.104,                0.48683,                 1.1566,             0.00097168,             0.00097168,             0.00097168
                     22,                 1.0283,                0.47829,                 1.0445,                0.94907,                0.91705,                0.97093,                0.66225,                 1.0845,                0.49168,                 1.1541,             0.00096435,             0.00096435,             0.00096435
                     23,                 1.0311,                0.47439,                 1.0515,                0.94073,                0.93417,                0.97501,                0.66575,                 1.0928,                0.47167,                  1.161,             0.00095702,             0.00095702,             0.00095702
                     24,                 1.0059,                0.45795,                 1.0444,                0.94041,                  0.946,                0.97779,                0.66629,                 1.0869,                0.46402,                 1.1623,             0.00094968,             0.00094968,             0.00094968
                     25,                  1.006,                0.44939,                 1.0476,                0.94432,                 0.9254,                 0.9763,                0.66537,                 1.0887,                0.47068,                 1.1605,             0.00094235,             0.00094235,             0.00094235
                     26,                  1.019,                0.46268,                 1.0474,                 0.9413,                 0.9386,                 0.9765,                  0.668,                 1.0827,                0.46129,                 1.1554,             0.00093502,             0.00093502,             0.00093502
                     27,                 0.9958,                0.44386,                 1.0301,                0.94428,                0.93935,                0.98119,                0.67003,                 1.0851,                0.45344,                 1.1534,             0.00092769,             0.00092769,             0.00092769
                     28,                 1.0012,                0.45059,                 1.0415,                0.93932,                0.94092,                0.97611,                0.66797,                 1.0784,                0.46076,                 1.1507,             0.00092035,             0.00092035,             0.00092035
                     29,                0.99708,                0.43796,                 1.0355,                0.95363,                0.94002,                0.97856,                0.66974,                 1.0808,                0.45147,                 1.1587,             0.00091302,             0.00091302,             0.00091302
                     30,                0.97614,                0.42776,                 1.0156,                0.94425,                0.94552,                0.97831,                0.67222,                 1.0878,                0.45129,                 1.1435,             0.00090569,             0.00090569,             0.00090569
                     31,                0.98323,                0.43309,                 1.0263,                0.94939,                0.94074,                0.98098,                0.67002,                 1.0902,                0.45106,                 1.1561,             0.00089835,             0.00089835,             0.00089835
                     32,                0.95824,                0.42435,                 1.0199,                0.95791,                0.93232,                0.98131,                0.67144,                 1.0925,                0.44652,                 1.1662,             0.00089102,             0.00089102,             0.00089102
                     33,                0.95023,                0.42206,                 1.0206,                0.95532,                0.93918,                0.98099,                  0.676,                 1.0849,                0.44823,                 1.1521,             0.00088369,             0.00088369,             0.00088369
                     34,                0.93711,                0.42021,                 1.0081,                0.94206,                 0.9424,                0.97983,                0.66124,                 1.1202,                0.46755,                 1.1812,             0.00087636,             0.00087636,             0.00087636
                     35,                0.95554,                0.42508,                 1.0244,                0.95351,                0.94115,                0.98114,                0.66928,                 1.1006,                0.45316,                 1.1683,             0.00086902,             0.00086902,             0.00086902
                     36,                0.95251,                0.41743,                 1.0236,                0.95216,                0.93895,                0.97919,                0.66346,                 1.1021,                0.45341,                 1.1618,             0.00086169,             0.00086169,             0.00086169
                     37,                 0.9312,                0.40463,                 1.0048,                0.95389,                0.94109,                0.98065,                0.68143,                 1.0752,                  0.437,                 1.1642,             0.00085436,             0.00085436,             0.00085436
                     38,                0.93738,                0.41356,                  1.013,                0.94158,                0.94224,                0.98027,                0.67283,                 1.0814,                0.46192,                 1.1677,             0.00084703,             0.00084703,             0.00084703
                     39,                0.92194,                0.40176,                 1.0099,                0.94701,                0.94726,                0.97833,                 0.6698,                 1.0936,                0.44629,                 1.1711,             0.00083969,             0.00083969,             0.00083969
                     40,                0.92103,                0.40371,                 1.0112,                0.95274,                0.93146,                0.97774,                0.67317,                 1.0808,                0.44211,                 1.1617,             0.00083236,             0.00083236,             0.00083236
                     41,                0.90787,                 0.3955,                0.99842,                0.95292,                0.93803,                0.97839,                0.67636,                 1.0823,                0.44315,                 1.1594,             0.00082503,             0.00082503,             0.00082503
                     42,                0.91113,                0.39738,                 1.0015,                 0.9514,                0.93951,                0.98056,                0.67698,                 1.0817,                0.44164,                  1.165,              0.0008177,              0.0008177,              0.0008177
                     43,                0.90708,                0.40134,                 1.0009,                0.94627,                0.94107,                0.97876,                0.67533,                 1.0944,                0.44104,                 1.1806,             0.00081036,             0.00081036,             0.00081036
                     44,                0.89811,                0.39127,                0.99492,                0.94623,                0.94599,                0.97807,                0.67205,                 1.0906,                0.44378,                 1.1662,             0.00080303,             0.00080303,             0.00080303
                     45,                0.89291,                0.38852,                0.99296,                0.95394,                0.93727,                0.97835,                0.66803,                 1.0991,                0.44321,                 1.1746,              0.0007957,              0.0007957,              0.0007957
                     46,                0.88664,                0.38678,                0.99168,                0.95706,                0.94205,                0.98268,                0.68089,                 1.0833,                0.43507,                 1.1683,             0.00078837,             0.00078837,             0.00078837
                     47,                 0.8825,                0.38384,                0.99186,                0.94528,                0.94687,                0.98065,                0.67527,                 1.0821,                0.44189,                 1.1648,             0.00078103,             0.00078103,             0.00078103
                     48,                0.86724,                0.37964,                0.97928,                0.95177,                0.93417,                0.97861,                 0.6691,                 1.0918,                0.44539,                 1.1682,              0.0007737,              0.0007737,              0.0007737
                     49,                0.87867,                0.38219,                0.98985,                0.95333,                0.93635,                0.97978,                 0.6763,                  1.081,                0.43347,                  1.167,             0.00076637,             0.00076637,             0.00076637
                     50,                0.85797,                0.37473,                0.98375,                0.95226,                0.94752,                0.98057,                0.68426,                 1.0756,                0.42078,                 1.1747,             0.00075904,             0.00075904,             0.00075904
                     51,                0.85496,                 0.3759,                0.98297,                 0.9542,                 0.9409,                0.98016,                0.68174,                 1.0859,                0.42819,                 1.1827,              0.0007517,              0.0007517,              0.0007517
                     52,                0.84345,                0.36804,                0.97221,                0.95061,                0.94284,                0.98003,                0.67965,                  1.087,                0.43079,                  1.174,             0.00074437,             0.00074437,             0.00074437
                     53,                0.83485,                0.36828,                0.97039,                0.95451,                0.94366,                  0.982,                0.67967,                 1.0851,                0.43333,                 1.1684,             0.00073704,             0.00073704,             0.00073704
                     54,                  0.841,                0.36777,                0.96817,                0.95329,                 0.9331,                0.97784,                0.67306,                 1.0998,                0.43661,                 1.1778,              0.0007297,              0.0007297,              0.0007297
                     55,                0.83682,                0.36195,                0.97164,                0.95287,                0.95214,                0.98101,                0.68055,                 1.0798,                0.42354,                 1.1615,             0.00072237,             0.00072237,             0.00072237
                     56,                0.82509,                0.36026,                0.95872,                 0.9541,                0.94061,                0.98064,                0.67928,                  1.086,                0.42982,                 1.1677,             0.00071504,             0.00071504,             0.00071504
                     57,                0.80846,                0.35217,                0.95452,                0.94982,                0.94758,                0.97884,                0.67458,                 1.0882,                0.43096,                 1.1831,             0.00070771,             0.00070771,             0.00070771
                     58,                0.80212,                0.35094,                0.95986,                0.95185,                0.95043,                0.97872,                0.67699,                 1.0893,                0.43162,                 1.1868,             0.00070037,             0.00070037,             0.00070037
                     59,                0.79828,                 0.3503,                0.95633,                0.95443,                0.94439,                0.98043,                0.67463,                 1.0957,                0.43192,                  1.197,             0.00069304,             0.00069304,             0.00069304
                     60,                0.80336,                0.34997,                0.95781,                0.95187,                 0.9457,                0.98041,                0.68199,                 1.0799,                0.42685,                 1.1754,             0.00068571,             0.00068571,             0.00068571
                     61,                0.80244,                0.34958,                0.95544,                0.95052,                0.94755,                 0.9799,                0.68047,                 1.0879,                0.42879,                 1.1874,             0.00067838,             0.00067838,             0.00067838
                     62,                0.78534,                0.34548,                0.95605,                0.94414,                 0.9562,                 0.9802,                0.68054,                 1.0853,                0.42168,                 1.1962,             0.00067104,             0.00067104,             0.00067104
                     63,                0.77603,                0.33953,                0.94977,                 0.9593,                0.94193,                0.98231,                0.67996,                 1.0884,                0.42152,                 1.1837,             0.00066371,             0.00066371,             0.00066371
                     64,                0.77583,                0.33952,                0.94476,                0.95619,                0.94003,                0.98143,                0.67148,                 1.1042,                0.42634,                   1.19,             0.00065638,             0.00065638,             0.00065638
                     65,                0.77456,                0.34048,                0.94993,                0.95202,                0.94427,                0.98226,                0.68094,                 1.0948,                 0.4285,                 1.2113,             0.00064905,             0.00064905,             0.00064905
                     66,                0.77077,                 0.3423,                0.94728,                0.95077,                0.94932,                 0.9824,                0.68289,                 1.0871,                0.41895,                 1.1883,             0.00064171,             0.00064171,             0.00064171
                     67,                0.75559,                 0.3351,                 0.9347,                0.96061,                0.94173,                0.98197,                0.67828,                 1.0959,                0.42085,                 1.2009,             0.00063438,             0.00063438,             0.00063438
                     68,                0.75881,                0.33543,                0.94024,                0.95841,                0.94441,                0.98088,                0.67912,                 1.1036,                0.42012,                 1.2108,             0.00062705,             0.00062705,             0.00062705
                     69,                0.75575,                0.33334,                 0.9327,                0.94682,                0.95033,                0.97988,                 0.6825,                 1.0864,                0.42746,                 1.1982,             0.00061972,             0.00061972,             0.00061972
                     70,                 0.7372,                0.32732,                0.93869,                0.94748,                0.94844,                0.97884,                 0.6788,                 1.0886,                0.43076,                 1.2039,             0.00061238,             0.00061238,             0.00061238
                     71,                0.74682,                0.33427,                 0.9391,                0.95581,                0.94168,                0.97901,                0.67543,                 1.0978,                0.43229,                 1.2108,             0.00060505,             0.00060505,             0.00060505
                     72,                0.74825,                0.32901,                0.94032,                0.95861,                0.93927,                0.97938,                0.67532,                 1.1005,                0.42367,                 1.2067,             0.00059772,             0.00059772,             0.00059772
                     73,                0.74725,                0.33162,                0.94733,                0.94065,                0.95273,                0.97873,                0.67705,                 1.0936,                0.42695,                 1.2022,             0.00059039,             0.00059039,             0.00059039
                     74,                0.73006,                0.32404,                0.93213,                0.95539,                0.94068,                0.98047,                0.67714,                 1.0957,                0.42974,                  1.213,             0.00058305,             0.00058305,             0.00058305
                     75,                0.72055,                0.32144,                0.92413,                0.95777,                 0.9412,                0.97776,                0.67433,                 1.0943,                0.42922,                 1.2102,             0.00057572,             0.00057572,             0.00057572
                     76,                0.71376,                0.31813,                0.92135,                0.94841,                 0.9404,                0.97755,                0.68111,                 1.0814,                0.43024,                 1.1928,             0.00056839,             0.00056839,             0.00056839
                     77,                0.71032,                0.31843,                0.91978,                0.95217,                   0.95,                0.98082,                0.68048,                 1.0881,                0.42416,                  1.202,             0.00056105,             0.00056105,             0.00056105
                     78,                0.70769,                0.31583,                0.91825,                0.95915,                0.94619,                0.98157,                0.68124,                 1.1029,                0.42111,                 1.2084,             0.00055372,             0.00055372,             0.00055372
                     79,                0.70214,                 0.3153,                0.91729,                0.95106,                0.94662,                0.98006,                   0.68,                 1.0894,                0.42183,                  1.193,             0.00054639,             0.00054639,             0.00054639
