                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5416,                   8.86,                 2.0704,                0.00136,                0.02692,                0.00079,                0.00045,                 2.9206,                 9.6661,                 2.1692,              5.555e-05,              5.555e-05,              5.555e-05
                      2,                 1.9237,                 6.8344,                 1.7435,                0.13059,                 0.4169,                0.17078,                 0.1155,                 1.2054,                 15.234,                 1.0954,              0.0001214,              0.0001214,              0.0001214
                      3,                0.87793,                 2.6153,                 0.9348,                0.20444,                0.50212,                0.22576,                0.18369,                0.95048,                 18.349,                0.92082,             0.00018638,             0.00018638,             0.00018638
                      4,                  0.803,                 1.9852,                0.88688,                0.31858,                0.58103,                0.37685,                0.32652,                0.79433,                 5.3532,                0.89304,             0.00025047,             0.00025047,             0.00025047
                      5,                0.70785,                 1.6023,                0.87608,                0.43771,                0.53885,                0.43491,                0.36119,                0.87749,                 8.5006,                0.89957,             0.00031368,             0.00031368,             0.00031368
                      6,                0.73873,                 1.3851,                0.87774,                0.54578,                0.52493,                0.51799,                 0.4323,                0.89012,                 5.2356,                0.91108,             0.00037602,             0.00037602,             0.00037602
                      7,                0.73299,                 1.1116,                0.87432,                0.42303,                0.47469,                0.41639,                 0.3175,                0.96188,                 3.6039,                0.94078,             0.00043747,             0.00043747,             0.00043747
                      8,                0.75895,                 1.1599,                0.86134,                0.49649,                0.50786,                0.48143,                 0.3668,                 1.0339,                 2.9231,                 1.0024,             0.00049805,             0.00049805,             0.00049805
                      9,                0.76379,                  1.129,                0.88141,                0.74918,                0.47618,                0.50377,                 0.4021,                 1.0422,                 2.0489,                 1.0304,             0.00055774,             0.00055774,             0.00055774
                     10,                0.69755,                0.99974,                0.86592,                0.80801,                0.56005,                0.63205,                0.49949,                0.89661,                 1.5649,                0.92614,             0.00061655,             0.00061655,             0.00061655
                     11,                0.69208,                 1.0158,                0.86919,                0.66243,                0.56217,                0.58514,                0.47303,                0.93462,                 1.7348,                0.94092,             0.00067449,             0.00067449,             0.00067449
                     12,                0.64218,                0.83712,                 0.8415,                 0.7172,                0.58023,                0.63742,                0.50669,                0.90963,                 1.4039,                0.94201,             0.00073154,             0.00073154,             0.00073154
                     13,                0.69337,                0.80947,                0.84929,                0.82004,                0.56149,                0.64414,                 0.5038,                0.88049,                  1.397,                0.93639,             0.00078772,             0.00078772,             0.00078772
                     14,                0.70253,                0.71966,                0.86459,                0.85377,                0.58178,                0.64694,                0.50914,                0.92686,                 1.3121,                0.94005,             0.00084301,             0.00084301,             0.00084301
                     15,                0.72439,                0.81429,                0.86701,                0.85558,                0.56585,                0.65194,                0.52415,                0.90157,                 1.2532,                0.93232,             0.00089743,             0.00089743,             0.00089743
                     16,                0.71036,                0.68846,                0.86312,                0.74323,                0.57865,                0.63245,                0.51186,                0.87692,                 1.3252,                0.93085,             0.00095096,             0.00095096,             0.00095096
                     17,                0.67474,                0.70448,                0.84646,                 0.8112,                0.54845,                0.63975,                0.51889,                0.89465,                 1.3749,                0.93307,             0.00099368,             0.00099368,             0.00099368
                     18,                0.67423,                0.77492,                0.86245,                0.85188,                0.59149,                0.67383,                0.55557,                 0.8451,                 1.1977,                0.93009,             0.00099368,             0.00099368,             0.00099368
                     19,                0.66161,                0.72543,                0.85394,                0.72822,                0.66421,                0.70627,                0.56932,                0.89816,                 1.3376,                0.94368,             0.00098635,             0.00098635,             0.00098635
                     20,                0.68125,                0.73511,                0.87247,                0.88222,                0.52911,                0.64797,                0.51686,                0.89505,                 1.5054,                0.93873,             0.00097901,             0.00097901,             0.00097901
                     21,                0.65439,                0.69861,                0.85887,                0.84221,                0.56613,                0.67537,                0.55321,                0.83718,                 1.4059,                0.91531,             0.00097168,             0.00097168,             0.00097168
                     22,                0.69125,                 0.6289,                 0.8601,                0.84724,                0.58209,                0.69488,                0.55347,                0.85303,                  1.385,                0.90595,             0.00096435,             0.00096435,             0.00096435
                     23,                0.68062,                0.67491,                0.85622,                0.83404,                 0.6206,                0.71151,                0.57701,                0.85179,                  1.336,                0.92382,             0.00095702,             0.00095702,             0.00095702
                     24,                0.67006,                0.63073,                0.84747,                0.76037,                0.61649,                0.68808,                0.56279,                0.87111,                 1.5273,                0.89933,             0.00094968,             0.00094968,             0.00094968
                     25,                0.69947,                0.66294,                0.88304,                0.92722,                0.55432,                 0.7068,                 0.5719,                0.86616,                 1.3692,                0.89926,             0.00094235,             0.00094235,             0.00094235
                     26,                0.64371,                0.60233,                0.84231,                0.89431,                0.63014,                0.74717,                0.60726,                0.83504,                 1.0684,                0.90862,             0.00093502,             0.00093502,             0.00093502
                     27,                0.68052,                 0.5931,                0.85167,                0.76695,                0.65168,                0.73511,                0.59262,                 0.8499,                 1.0915,                0.91249,             0.00092769,             0.00092769,             0.00092769
                     28,                0.63593,                0.59577,                0.85371,                 0.8758,                0.67733,                0.76379,                0.60411,                0.83037,                 1.0002,                0.90931,             0.00092035,             0.00092035,             0.00092035
                     29,                0.64004,                0.55998,                0.84918,                0.89633,                0.66199,                0.77557,                0.60857,                  0.864,                 0.9467,                 0.9108,             0.00091302,             0.00091302,             0.00091302
                     30,                0.62749,                0.55875,                0.84912,                0.89833,                0.70364,                0.77117,                0.61875,                0.85345,                0.87526,                0.91422,             0.00090569,             0.00090569,             0.00090569
                     31,                0.65391,                0.54714,                 0.8532,                0.91419,                0.66876,                 0.7633,                 0.6138,                0.84718,                0.91293,                0.91513,             0.00089835,             0.00089835,             0.00089835
                     32,                0.64645,                0.57558,                0.85058,                0.88601,                0.68019,                0.75452,                0.60937,                0.85372,                 1.0326,                0.91266,             0.00089102,             0.00089102,             0.00089102
                     33,                0.62502,                0.55691,                0.84181,                0.90872,                0.60284,                0.73584,                0.58944,                0.85265,                 1.0887,                0.91784,             0.00088369,             0.00088369,             0.00088369
                     34,                0.64744,                0.61653,                0.85783,                0.88541,                0.59686,                0.73315,                0.57228,                0.81624,                 1.1074,                 0.9133,             0.00087636,             0.00087636,             0.00087636
