                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5202,                 6.7471,                 2.1553,                0.00027,                0.00988,                 0.0002,                0.00017,                 3.1181,                 8.0116,                 2.3923,              3.845e-05,              3.845e-05,              3.845e-05
                      2,                 1.8306,                 5.3609,                 1.6789,                0.21189,                0.30044,                0.12828,                0.09918,                0.96374,                 3.9663,                0.93181,             8.4032e-05,             8.4032e-05,             8.4032e-05
                      3,                0.81199,                 2.5492,                0.94364,                0.27039,                0.40216,                0.18058,                0.14458,                0.92125,                 11.641,                0.92476,               0.000129,               0.000129,               0.000129
                      4,                0.73398,                  2.087,                0.89905,                0.46643,                 0.3648,                0.26094,                0.21474,                 0.8573,                 7.3202,                 0.8981,             0.00017337,             0.00017337,             0.00017337
                      5,                0.77381,                 1.9118,                0.92166,                0.20597,                0.51346,                0.25447,                0.21081,                0.85044,                 9.0523,                 0.8938,             0.00021712,             0.00021712,             0.00021712
                      6,                  0.736,                 1.6182,                0.90148,                0.42055,                0.52236,                0.45467,                0.37738,                0.81065,                 3.2038,                0.89596,             0.00026027,             0.00026027,             0.00026027
                      7,                0.74663,                 1.4599,                0.89661,                0.65554,                0.42177,                0.52775,                0.41841,                0.92885,                 2.0865,                0.94089,              0.0003028,              0.0003028,              0.0003028
                      8,                0.73289,                 1.3683,                0.89198,                0.53442,                0.37089,                0.45423,                0.36136,                 0.9255,                 2.4172,                0.93473,             0.00034473,             0.00034473,             0.00034473
                      9,                0.70662,                 1.2955,                0.88269,                0.40749,                0.49217,                0.47023,                0.37094,                0.92898,                 2.2526,                0.94538,             0.00038605,             0.00038605,             0.00038605
                     10,                0.66126,                 1.2268,                   0.87,                0.56989,                0.51362,                0.53397,                0.43841,                0.86218,                 1.7257,                0.92458,             0.00042676,             0.00042676,             0.00042676
                     11,                0.70896,                 1.1487,                0.88825,                0.58613,                0.46674,                0.51834,                0.42059,                0.91503,                 1.6386,                0.94512,             0.00046686,             0.00046686,             0.00046686
                     12,                0.66157,                 1.0266,                0.86251,                0.53176,                 0.5379,                0.50776,                0.41836,                0.86962,                 1.9226,                0.92067,             0.00050635,             0.00050635,             0.00050635
                     13,                0.66497,                0.99772,                0.87057,                0.64039,                0.49533,                0.53573,                0.43589,                0.86976,                 1.8637,                0.91331,             0.00054523,             0.00054523,             0.00054523
                     14,                0.63899,                0.88965,                0.85867,                 0.6734,                0.47749,                0.51996,                0.41253,                0.95407,                 2.1077,                0.95774,             0.00058351,             0.00058351,             0.00058351
