                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3036,                0.92723,                 1.1607,                0.85546,                 0.8782,                0.92078,                0.56715,                 1.2363,                0.75069,                 1.1928,             0.00054712,             0.00054712,             0.00054712
                      2,                 1.2174,                0.61394,                 1.1214,                0.92806,                0.87394,                0.94492,                0.56009,                 1.3283,                0.71926,                 1.3143,              0.0010955,              0.0010955,              0.0010955
                      3,                 1.2476,                0.61016,                  1.149,                0.87812,                0.90696,                0.94778,                0.59656,                 1.1784,                0.59357,                 1.2072,              0.0016366,              0.0016366,              0.0016366
                      4,                 1.2023,                0.57722,                 1.1323,                0.87964,                0.88926,                0.94631,                0.60202,                  1.201,                0.56011,                 1.2346,               0.001634,               0.001634,               0.001634
                      5,                 1.2058,                0.59595,                 1.1268,                0.90859,                0.92923,                0.96622,                0.61764,                  1.174,                0.59934,                 1.1843,               0.001634,               0.001634,               0.001634
                      6,                  1.179,                0.54583,                 1.1231,                0.92535,                0.92948,                0.96834,                0.61395,                 1.1822,                0.49135,                 1.1977,               0.001623,               0.001623,               0.001623
                      7,                 1.1785,                0.54835,                 1.1163,                0.94248,                0.92302,                0.97609,                 0.6344,                 1.1447,                0.51163,                 1.1691,               0.001612,               0.001612,               0.001612
                      8,                 1.1557,                0.52146,                  1.104,                0.93667,                0.93786,                0.97184,                0.62638,                 1.1554,                0.49829,                 1.1782,               0.001601,               0.001601,               0.001601
                      9,                 1.1585,                0.51399,                   1.11,                0.93675,                0.95203,                0.97754,                0.64528,                 1.1071,                0.46469,                 1.1636,                0.00159,                0.00159,                0.00159
                     10,                 1.1417,                0.50013,                 1.1014,                0.94919,                0.92068,                0.96309,                 0.6232,                 1.1302,                0.47581,                 1.1745,               0.001579,               0.001579,               0.001579
                     11,                 1.1423,                0.49778,                 1.1003,                0.94187,                0.93791,                0.96465,                0.62049,                 1.1632,                0.48163,                 1.1974,               0.001568,               0.001568,               0.001568
                     12,                 1.1265,                0.48469,                 1.0989,                0.95652,                0.93765,                0.97861,                0.63765,                 1.1609,                0.46206,                 1.2002,               0.001557,               0.001557,               0.001557
                     13,                 1.1069,                0.46918,                 1.0879,                0.95072,                0.94457,                0.97837,                 0.6411,                 1.1283,                0.45602,                 1.1724,               0.001546,               0.001546,               0.001546
                     14,                 1.1243,                 0.4723,                 1.0938,                0.95152,                0.93127,                0.97371,                 0.6517,                 1.1065,                0.44014,                 1.1683,               0.001535,               0.001535,               0.001535
